         10123545275 function calls (9508084531 primitive calls) in 16546.580 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 16546.580 16546.580 <string>:1(<module>)
       75    0.000    0.000    0.020    0.000 ChessAI.py:4(threeMoveRep)
        1    0.001    0.001 16546.580 16546.580 ChessAI.py:54(startGameAI)
  7226063   12.073    0.000   19.956    0.000 ChessBoard.py:13(setRowPos)
    74089    0.205    0.000    0.395    0.000 ChessBoard.py:190(__eq__)
713488041  378.455    0.000  378.455    0.000 ChessBoard.py:21(getRowPos)
  1340813    2.361    0.000 1500.354    0.001 ChessBoard.py:212(updateWhitePieces)
  2201194    3.851    0.000 2586.761    0.001 ChessBoard.py:218(updateBlackPieces)
    34608    0.658    0.000 4608.655    0.133 ChessBoard.py:224(whiteMove)
      608    0.004    0.000    0.007    0.000 ChessBoard.py:25(__str__)
  2201194   29.965    0.000 2682.628    0.001 ChessBoard.py:316(whiteMove2)
    34575    0.684    0.000 6853.149    0.198 ChessBoard.py:381(blackMove)
        8    0.000    0.000    0.000    0.000 ChessBoard.py:40(__init__)
  7226063   12.241    0.000   21.704    0.000 ChessBoard.py:45(setColPos)
  1340813   18.694    0.000 1561.278    0.001 ChessBoard.py:470(blackMove2)
   209628    0.950    0.000 3285.403    0.016 ChessBoard.py:535(checkWhitePossibleMoves)
   166265    0.768    0.000 1579.382    0.009 ChessBoard.py:552(checkBlackPossibleMoves)
  3616096    1.259    0.000    1.259    0.000 ChessBoard.py:569(getAllRemainingPieces)
713488041 1510.729    0.000 2319.578    0.000 ChessBoard.py:575(getPieceAt)
  5978284    1.243    0.000    1.243    0.000 ChessBoard.py:589(checkRemainingWhitePieces)
  5083521    1.061    0.000    1.061    0.000 ChessBoard.py:595(checkRemainingBlackPieces)
    34575    0.717    0.000 6696.356    0.194 ChessBoard.py:623(whiteHasMoves)
    34608    0.709    0.000 4433.149    0.128 ChessBoard.py:638(blackHasMoves)
       37    0.000    0.000    0.058    0.002 ChessBoard.py:652(whiteInCheck)
       59    0.000    0.000    0.053    0.001 ChessBoard.py:654(blackInCheck)
       11    0.000    0.000    0.000    0.000 ChessBoard.py:656(endGame)
    67222    0.021    0.000    0.021    0.000 ChessBoard.py:660(isEndGame)
    24527    0.088    0.000    1.631    0.000 ChessBoard.py:662(removePieceAt)
       76    0.002    0.000    0.009    0.000 ChessBoard.py:670(__str__)
     1087    0.002    0.000    0.002    0.000 ChessBoard.py:683(coordToSquare)
     2564    0.003    0.000    0.004    0.000 ChessBoard.py:691(squareToCoord)
        1    0.000    0.000    0.001    0.001 ChessBoard.py:72(__init__)
        8    0.000    0.000    0.000    0.000 ChessBoard.py:8(__init__)
  7348124    1.646    0.000    1.646    0.000 Pieces.py:100(getMoveStatus)
  3542007  105.814    0.000 16045.521    0.005 Pieces.py:102(willBeCheck)
 65656145  560.039    0.000 2256.788    0.000 Pieces.py:1041(updateValidMoves2)
 10492929    4.923    0.000    4.923    0.000 Pieces.py:114(__str__)
 33611151    4.113    0.000    4.113    0.000 Pieces.py:118(getName)
834928546  901.784    0.000  901.784    0.000 Pieces.py:1193(coordToSquare)
   303285    0.171    0.000    0.171    0.000 Pieces.py:120(getSymbol)
106420530  136.316    0.000  157.962    0.000 Pieces.py:1201(squareToCoord)
    97625    2.253    0.000 1461.547    0.015 Pieces.py:122(updateValidMoves)
  3640369   55.547    0.000 4074.261    0.001 Pieces.py:175(inCheck)
  7037262  128.056    0.000 3442.040    0.000 Pieces.py:187(updateValidMoves2)
  1656038    0.368    0.000    0.368    0.000 Pieces.py:20(getPosition)
  3950083    9.833    0.000    9.833    0.000 Pieces.py:22(setPosition)
  7131780   20.695    0.000  181.824    0.000 Pieces.py:232(canQueenSideCastle)
  7131780   65.251    0.000 1667.168    0.000 Pieces.py:268(canKingSideCastle)
 49163574    5.960    0.000    5.960    0.000 Pieces.py:302(getName)
   992736    0.562    0.000    0.562    0.000 Pieces.py:304(getSymbol)
    96605    3.453    0.000 4192.553    0.043 Pieces.py:306(updateValidMoves)
282291468   45.453    0.000   45.453    0.000 Pieces.py:36(getColor)
       32    0.000    0.000    0.000    0.000 Pieces.py:4(__init__)
656504451  378.689    0.000  457.255    0.000 Pieces.py:40(__eq__)
  9182643  207.304    0.000  757.874    0.000 Pieces.py:435(updateValidMoves2)
 35789904   15.349    0.000   38.613    0.000 Pieces.py:47(__ne__)
102740002   15.849    0.000   15.849    0.000 Pieces.py:51(getValidMoves)
  3611190    2.144    0.000    2.144    0.000 Pieces.py:53(isValidMove)
 60232907    7.382    0.000    7.382    0.000 Pieces.py:560(getName)
   541580    0.316    0.000    0.316    0.000 Pieces.py:562(getSymbol)
   140589    2.366    0.000 2481.221    0.018 Pieces.py:564(updateValidMoves)
    26564    0.286    0.000    0.363    0.000 Pieces.py:59(getThreats)
 12888687  148.921    0.000  502.494    0.000 Pieces.py:633(updateValidMoves2)
 67930472    7.929    0.000    7.929    0.000 Pieces.py:699(getName)
   433815    0.269    0.000    0.269    0.000 Pieces.py:701(getSymbol)
   107947    2.153    0.000 1978.773    0.018 Pieces.py:703(updateValidMoves)
 10528734  152.986    0.000 2286.609    0.000 Pieces.py:739(updateValidMoves2)
 49714331    6.189    0.000    6.189    0.000 Pieces.py:771(getName)
   397443    0.234    0.000    0.234    0.000 Pieces.py:773(getSymbol)
   146976    2.212    0.000 1586.490    0.011 Pieces.py:775(updateValidMoves)
    21462    0.128    0.000    0.185    0.000 Pieces.py:79(getThreatenedPieces)
 14503306  146.265    0.000  455.943    0.000 Pieces.py:844(updateValidMoves2)
391036935   42.702    0.000   42.702    0.000 Pieces.py:909(getName)
   945561    0.524    0.000
